Term,2024 Fall,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Class Enrollment Summary by Term with Prompt,,,,,,,,,,,,,,
Time run: 11/5/2024 9:08:31 AM,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Class Number,Course Title,Course Name,View in Course Search,Course Section Code,Course Department,Instructor Full Name,UGrad,Grad,NonDegree,XReg,VUS,Employee,Withdraw,Total
18765,AFVS 55P,Embodied Practices,View AFVS 55P in Course Search ,1,"Art, Film, and Visual Studies","Tetrault,Pascale",9,0,0,0,0,0,0,9
14887,AFVS 60X,Approaching Narrative: Intro,View AFVS 60X in Course Search ,001,"Art, Film, and Visual Studies","Diop,Oumy Alice",8,0,0,0,0,0,0,8
18988,AFVS 63M,Intro to Time-Based Media,View AFVS 63M in Course Search ,1,"Art, Film, and Visual Studies","Manna,Jumana",5,2,0,3,0,0,0,10
12942,AFVS 91R,Special Projects,View AFVS 91R in Course Search ,001,"Art, Film, and Visual Studies","Lingford,Ruth Stella",4,0,0,0,0,0,0,4
12948,AFVS 99A,Tutorial - Senior Year,View AFVS 99A in Course Search ,001,"Art, Film, and Visual Studies","Strobert,Kianja",18,0,0,0,0,0,0,18
12950,AFVS 99B,Tutorial - Senior Year,View AFVS 99B in Course Search ,001,"Art, Film, and Visual Studies","Pimenta,Joana",2,0,0,0,0,0,0,2
14839,AKKAD 120R,Intermediate Akkadian,View AKKAD 120R in Course Search ,001,Near Eastern Languages & Civ,"Debourse,Celine Hilde Ilse",0,0,0,0,0,0,0,0
12889,AKKAD AA,Introductory Akkadian I,View AKKAD AA in Course Search ,001,Near Eastern Languages & Civ,"Debourse,Celine Hilde Ilse",1,1,0,0,0,0,0,2
16621,ALBANIAN CA,Advanced Modern Albanian I,View ALBANIAN CA in Course Search ,001,Near Eastern Languages & Civ,"Uthman,Nader",2,0,0,0,0,1,0,3
14745,AMHARIC 101AR,Advanced Amharic,View AMHARIC 101AR in Course Search ,001,African & African Amer Studies,"Mugane,John M",5,0,0,1,0,0,0,6
12581,AMHARIC AA,Elementary Amharic,View AMHARIC AA in Course Search ,001,African & African Amer Studies,"Mugane,John M",4,0,0,4,0,0,0,8
12578,AMHARIC BA,Intermediate Amharic,View AMHARIC BA in Course Search ,001,African & African Amer Studies,"Mugane,John M",5,0,0,1,0,0,0,6
20806,AMSTDIES 200,American Studies,View AMSTDIES 200 in Course Search ,001,American Studies,"Bernstein,Robin",0,8,0,0,0,0,0,8
15502,AMSTDIES 399,Doctoral Dissertatn Direction,View AMSTDIES 399 in Course Search ,1,American Studies,"Deloria,Philip",0,3,0,0,0,0,0,3
15557,AMSTDIES 399,Doctoral Dissertatn Direction,View AMSTDIES 399 in Course Search ,12,American Studies,"Lepore,Jill",0,0,0,0,0,0,0,0
15514,AMSTDIES 399,Doctoral Dissertatn Direction,View AMSTDIES 399 in Course Search ,13,American Studies,"Chaplin,Joyce E.",0,0,0,0,0,0,0,0
15503,AMSTDIES 399,Doctoral Dissertatn Direction,View AMSTDIES 399 in Course Search ,2,American Studies,"Mack,Kenneth W.",0,1,0,0,0,0,0,1
15504,AMSTDIES 399,Doctoral Dissertatn Direction,View AMSTDIES 399 in Course Search ,3,American Studies,"Burt,Stephanie",0,1,0,0,0,0,0,1
15507,AMSTDIES 399,Doctoral Dissertatn Direction,View AMSTDIES 399 in Course Search ,6,American Studies,"Joselit,David",0,1,0,0,0,0,0,1
15508,AMSTDIES 399,Doctoral Dissertatn Direction,View AMSTDIES 399 in Course Search ,7,American Studies,"Bernstein,Robin",0,1,0,0,0,0,0,1
15509,AMSTDIES 399,Doctoral Dissertatn Direction,View AMSTDIES 399 in Course Search ,8,American Studies,"Soto Laveaga,Gabriela",0,1,0,0,0,0,0,1
15510,AMSTDIES 399,Doctoral Dissertatn Direction,View AMSTDIES 399 in Course Search ,9,American Studies,"Brekus,Catherine A",0,1,0,0,0,0,0,1
16601,ANE 109,First Civilizations,View ANE 109 in Course Search ,001,Near Eastern Languages & Civ,"Danielson,Andrew Joel",3,0,0,0,0,0,0,3
16602,ANE 115,Archaeology of the Levant,View ANE 115 in Course Search ,001,Near Eastern Languages & Civ,"Danielson,Andrew Joel",0,2,0,0,0,0,0,2
