Class Enrollment Summary by Term with Prompt,,,,,,,,,,,,,,
Time run: 3/26/2025 8:00:16 AM,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Class Number,Course Title,Course Name,View in Course Search,Course Section Code,Course Department,Instructor Full Name,UGrad,Grad,NonDegree,XReg,VUS,Employee,Withdraw,Total
12166,AFVS 99B,Tutorial - Senior Year,View AFVS 99B in Course Search ,001,"Art, Film, and Visual Studies","Pimenta,Joana",17,0,0,0,0,0,0,17
11894,AKKAD AB,Introductory Akkadian II,View AKKAD AB in Course Search ,001,Near Eastern Languages & Civ,"Debourse,Celine Hilde Ilse",2,0,0,0,0,0,0,2
20138,ALBANIAN CB,Advanced Modern Albanian II,View ALBANIAN CB in Course Search ,001,Near Eastern Languages & Civ,"Uthman,Nader",2,0,0,0,0,1,0,3
11719,AMHARIC 101BR,Advanced Amharic II,View AMHARIC 101BR in Course Search ,001,African & African Amer Studies,"Mugane,John M",5,0,0,0,0,0,0,5
11722,AMHARIC AB,Elementary Amharic,View AMHARIC AB in Course Search ,001,African & African Amer Studies,"Mugane,John M",2,0,0,3,0,0,0,5
13390,AMHARIC BB,Intermediate Amharic,View AMHARIC BB in Course Search ,001,African & African Amer Studies,"Mugane,John M",8,0,0,1,0,0,0,9
22641,AMSTDIES 399,Doctoral Dissertatn Direction,View AMSTDIES 399 in Course Search ,01,American Studies,"Deloria,Philip",0,3,0,0,0,0,0,3
22648,AMSTDIES 399,Doctoral Dissertatn Direction,View AMSTDIES 399 in Course Search ,06,American Studies,"Perry,Imani",0,1,0,0,0,0,0,1
22650,AMSTDIES 399,Doctoral Dissertatn Direction,View AMSTDIES 399 in Course Search ,08,American Studies,"Joselit,David",0,1,0,0,0,0,0,1
22651,AMSTDIES 399,Doctoral Dissertatn Direction,View AMSTDIES 399 in Course Search ,09,American Studies,"Mack,Kenneth W.",0,1,0,0,0,0,0,1
13762,ANCSTD 201,"Premodern Environment, Society",View ANCSTD 201 in Course Search ,001,"Classics, The","Kosmin,Paul J.",0,5,0,0,0,0,0,5
21416,ANE 116,Age of Empires,View ANE 116 in Course Search ,001,Near Eastern Languages & Civ,"Danielson,Andrew Joel",3,1,0,2,0,0,0,6
13741,ANE 120B,Hebrew Bible/Old Testament 2,View ANE 120B in Course Search ,001,Near Eastern Languages & Civ,"Teeter,Andrew",13,0,0,1,0,0,0,14
20923,ANE 211,Social Archaeology,View ANE 211 in Course Search ,001,Near Eastern Languages & Civ,"Danielson,Andrew Joel",0,4,0,5,0,0,0,9
16384,ANTHRO 1060,Archaeological Science,View ANTHRO 1060 in Course Search ,001,Anthropology,"Warinner,Christina Gertrude",8,3,0,0,0,0,0,11
20855,ANTHRO 1150,Ancient Landscapes,View ANTHRO 1150 in Course Search ,001,Anthropology,"Ur,Jason",5,4,0,0,0,0,0,9
21184,ANTHRO 1210,Chinese Archaeology,View ANTHRO 1210 in Course Search ,001,Anthropology,"Zhang,Chengrui",2,3,0,0,0,0,0,5
17788,ANTHRO 1290,Culture and Evolution,View ANTHRO 1290 in Course Search ,001,Anthropology,"Clark,Amy Elizabeth",5,3,0,1,1,0,0,10
15927,ANTHRO 1435,Challenging Collections,View ANTHRO 1435 in Course Search ,001,Anthropology,"Loren,Diana",11,0,0,1,0,0,0,12
12833,ANTHRO 1709,Anthropology of Power,View ANTHRO 1709 in Course Search ,001,Anthropology,"Fierman,Julia",12,2,1,2,0,0,0,17
21962,ANTHRO 1713,Disability and the Body,View ANTHRO 1713 in Course Search ,001,Anthropology,"Az,E. Irem",18,0,0,2,0,0,0,20
18104,ANTHRO 1716,Neoliberalism,View ANTHRO 1716 in Course Search ,001,Anthropology,"Keshavjee,Salmaan",6,1,0,0,0,0,0,7
21191,ANTHRO 1781,What Is Latin America?,View ANTHRO 1781 in Course Search ,001,Anthropology,"Fierman,Julia",9,0,0,0,0,0,0,9
21988,ANTHRO 1821,Intro to Social Medicine,View ANTHRO 1821 in Course Search ,001,Anthropology,"Zeve,Lindsey Marten",43,0,0,0,1,0,0,44
18038,ANTHRO 1826,Medical Anthropology: Advanced,View ANTHRO 1826 in Course Search ,001,Anthropology,"Kleinman,Arthur",32,8,0,6,0,0,0,46
21192,ANTHRO 1853,The Everyday: Ethnographic,View ANTHRO 1853 in Course Search ,001,Anthropology,"Khaira,Damina",14,0,0,1,0,0,0,15
21193,ANTHRO 1913,Ethnographies Cities/Urban,View ANTHRO 1913 in Course Search ,001,Anthropology,"Tamburo,Elisa",8,2,0,1,0,0,0,11
20856,ANTHRO 2011BR,Zooarchaeology,View ANTHRO 2011BR in Course Search ,001,Anthropology,"Monroe,Shayla",3,5,0,1,0,0,0,9
20886,ANTHRO 2230,Archaeology of Colonialism,View ANTHRO 2230 in Course Search ,001,Anthropology,"Liebmann,Matt",2,4,0,0,0,0,0,6
20887,ANTHRO 2638,Human/Megafauna Interactions,View ANTHRO 2638 in Course Search ,001,Anthropology,"Flad,Rowan K.",3,2,0,0,0,0,0,5
16047,ANTHRO 2705,Semiotic Anthropology,View ANTHRO 2705 in Course Search ,001,Anthropology,"Harkness,Nicholas H.",0,4,0,1,0,0,0,5
13363,ANTHRO 2738,Remaking Life and Death,View ANTHRO 2738 in Course Search ,001,Anthropology,"Bernstein,Anya",0,1,0,4,0,0,0,5
21190,ANTHRO 2802,Anthropology & Geopolitical,View ANTHRO 2802 in Course Search ,001,Anthropology,"Tamburo,Elisa",2,6,0,0,0,0,0,8
18042,ANTHRO 2910,Theories of the Social,View ANTHRO 2910 in Course Search ,001,Anthropology,"Coleman,E. Gabriella",0,11,0,1,0,0,0,12
10944,ANTHRO 3000,Reading Course,View ANTHRO 3000 in Course Search ,003,Anthropology,"Carrasco,Davíd L.",0,1,0,0,0,0,0,1
10952,ANTHRO 3000,Reading Course,View ANTHRO 3000 in Course Search ,011,Anthropology,"Harkness,Nicholas H.",0,1,0,0,0,0,0,1
18041,ANTHRO 3070,Professionalization in Arch.,View ANTHRO 3070 in Course Search ,001,Anthropology,"Warinner,Christina Gertrude",0,3,0,0,0,0,0,3
12791,ANTHRO 3080,Museum Practicum,View ANTHRO 3080 in Course Search ,001,Anthropology,"Loren,Diana",0,1,0,1,0,0,0,2
10507,ANTHRO 3400,Reading and Research,View ANTHRO 3400 in Course Search ,001,Anthropology,,0,17,0,0,0,0,0,17
