Class Enrollment Summary by Term with Prompt,,,,,,,,,,,,,,
Time run: 4/17/2025 8:00:19 AM,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Class Number,Course Title,Course Name,View in Course Search,Course Section Code,Course Department,Instructor Full Name,UGrad,Grad,NonDegree,XReg,VUS,Employee,Withdraw,Total
14578,APPHY 380,Electrochemical Eng Sustainabl,View APPHY 380 in Course Search ,001,Applied Physics,"Schiffer,Zachary",0,3,0,0,0,0,0,3
12718,APPHY 392,Exp Soft Cond Matter & Materia,View APPHY 392 in Course Search ,001,Applied Physics,"Manoharan,Vinothan N",0,1,0,0,0,0,0,1
12713,APPHY 396,Topics in Materials Science,View APPHY 396 in Course Search ,001,Applied Physics,"Aziz,Michael J.",0,2,0,0,0,0,0,2
12705,APPHY 50A,Phys Fndtn for Sci & Engr I,View APPHY 50A in Course Search ,001,Applied Physics,"Mundy,Julia A.",69,0,0,0,0,0,0,69
12371,ARABIC 130A,Upper-Level Classical Arabic I,View ARABIC 130A in Course Search ,001,Near Eastern Languages & Civ,"Nasser,Shady Hekmat",3,2,0,0,0,0,0,5
11343,ARABIC 131A,Upper-Level Modern Arabic l,View ARABIC 131A in Course Search ,001,Near Eastern Languages & Civ,"Madi,Amr Abdelhadi Elsayed",3,5,0,0,0,0,0,8
11411,ARABIC 131A,Upper-Level Modern Arabic l,View ARABIC 131A in Course Search ,002,Near Eastern Languages & Civ,"Habib,Muhammad Ahmad",2,0,0,0,0,0,0,2
16972,ARABIC 150R,Arabic Literature,View ARABIC 150R in Course Search ,001,Near Eastern Languages & Civ,"Nasser,Shady Hekmat",2,2,0,0,0,0,0,4
11791,ARABIC 241AR,Advanced Modern Arabic Bridge,View ARABIC 241AR in Course Search ,001,Near Eastern Languages & Civ,"Uthman,Nader",6,1,0,0,0,0,0,7
13247,ARABIC 242AR,Arabic Five,View ARABIC 242AR in Course Search ,001,Near Eastern Languages & Civ,"Madi,Amr Abdelhadi Elsayed",0,1,0,0,0,0,0,1
16897,ARABIC 243BR,Intro to Rational Sciences,View ARABIC 243BR in Course Search ,001,Near Eastern Languages & Civ,"El-Rouayheb,Khaled",1,3,0,1,0,0,0,5
16973,ARABIC 245R,Classic Arabic Seminar,View ARABIC 245R in Course Search ,001,Near Eastern Languages & Civ,"Nasser,Shady Hekmat",1,2,0,0,0,0,0,3
11403,ARABIC AA,Elementary Arabic I,View ARABIC AA in Course Search ,001,Near Eastern Languages & Civ,"Malhas,Dana",5,1,0,0,0,0,0,6
11409,ARABIC AA,Elementary Arabic I,View ARABIC AA in Course Search ,002,Near Eastern Languages & Civ,"Malhas,Dana",3,1,0,0,0,0,0,4
12468,ARABIC AA,Elementary Arabic I,View ARABIC AA in Course Search ,003,Near Eastern Languages & Civ,"Cozzens,Richard",3,0,0,0,0,0,0,3
13423,ARABIC AA,Elementary Arabic I,View ARABIC AA in Course Search ,004,Near Eastern Languages & Civ,"Cozzens,Richard",3,0,0,0,0,0,0,3
16554,ARABIC AA,Elementary Arabic I,View ARABIC AA in Course Search ,005,Near Eastern Languages & Civ,"Khalaf Ahmed,Aya Mohammed",3,1,0,0,0,0,0,4
10539,ARABIC BA,Intermediate Arabic I,View ARABIC BA in Course Search ,001,Near Eastern Languages & Civ,"Madi,Amr Abdelhadi Elsayed",7,1,0,0,0,0,0,8
11410,ARABIC BA,Intermediate Arabic I,View ARABIC BA in Course Search ,002,Near Eastern Languages & Civ,"Khalaf Ahmed,Aya Mohammed",2,1,0,0,0,0,0,3
12469,ARABIC BA,Intermediate Arabic I,View ARABIC BA in Course Search ,003,Near Eastern Languages & Civ,"Khalaf Ahmed,Aya Mohammed",6,0,0,0,0,0,0,6
12390,ARMEN AA,Elem Modern Western Armenian I,View ARMEN AA in Course Search ,001,Near Eastern Languages & Civ,"Uthman,Nader",1,0,0,0,0,0,0,1
18626,ASTRON 1,The Big Questions of Astronomy,View ASTRON 1 in Course Search ,001,Astronomy,"Berger,Edo",13,0,0,0,0,0,0,13
17214,ASTRON 120,Stellar Physics,View ASTRON 120 in Course Search ,001,Astronomy,"Alcock,Charles Roger",1,0,0,0,0,0,0,1
18671,ASTRON 130,Cosmology,View ASTRON 130 in Course Search ,001,Astronomy,"Chen,Xingang",16,0,0,0,0,0,0,16
14141,ASTRON 140,General Relativity,View ASTRON 140 in Course Search ,001,Astronomy,"Chen,Xingang",16,1,0,0,0,0,0,17
11573,ASTRON 17,Galactic and Extragalactic,View ASTRON 17 in Course Search ,001,Astronomy,"Stubbs,Christopher William",19,0,0,0,0,0,0,19
13563,ASTRON 2,Celestial Navigation,View ASTRON 2 in Course Search ,001,Astronomy,"Sadler,Philip M.",4,0,0,0,0,0,0,4
12391,ASTRON 200,Phys Processes in Astrophysics,View ASTRON 200 in Course Search ,001,Astronomy,"Loeb,Abraham",0,3,0,0,0,0,0,3
17215,ASTRON 202A,Extragalactic/Cosmology I,View ASTRON 202A in Course Search ,001,Astronomy,"Conroy,Charlie",2,6,0,0,0,0,0,8
18465,ASTRON 214,Observational Astronomy,View ASTRON 214 in Course Search ,001,Astronomy,"Eisenstein,Daniel",0,3,0,0,0,0,0,3
19435,ASTRON 215,Relativistic Astrophysics,View ASTRON 215 in Course Search ,001,Astronomy,"Johnson,Michael D.",5,2,0,0,0,0,0,7
11505,ASTRON 300,Topics in Modern Astrophysics,View ASTRON 300 in Course Search ,004,Astronomy,"Conroy,Charlie",0,5,0,0,0,0,0,5
11506,ASTRON 300,Topics in Modern Astrophysics,View ASTRON 300 in Course Search ,005,Astronomy,"Charbonneau,David",0,2,0,0,0,0,0,2
11507,ASTRON 300,Topics in Modern Astrophysics,View ASTRON 300 in Course Search ,006,Astronomy,"Eisenstein,Daniel",0,1,0,0,0,0,0,1
11508,ASTRON 300,Topics in Modern Astrophysics,View ASTRON 300 in Course Search ,007,Astronomy,"Finkbeiner,Douglas",0,1,0,0,0,0,0,1
11509,ASTRON 300,Topics in Modern Astrophysics,View ASTRON 300 in Course Search ,008,Astronomy,"Sasselov,Dimitar",0,1,0,0,0,0,0,1
11511,ASTRON 300,Topics in Modern Astrophysics,View ASTRON 300 in Course Search ,010,Astronomy,"Berger,Edo",0,4,0,0,0,0,0,4
11514,ASTRON 300,Topics in Modern Astrophysics,View ASTRON 300 in Course Search ,013,Astronomy,"Öberg,Karin",0,6,0,0,0,0,0,6
11515,ASTRON 300,Topics in Modern Astrophysics,View ASTRON 300 in Course Search ,014,Astronomy,"Hernquist,Lars Eric",0,4,0,0,0,0,0,4
11516,ASTRON 300,Topics in Modern Astrophysics,View ASTRON 300 in Course Search ,015,Astronomy,"Narayan,Ramesh",0,1,0,0,0,0,0,1
11517,ASTRON 300,Topics in Modern Astrophysics,View ASTRON 300 in Course Search ,016,Astronomy,"Andrews,Sean M.",0,1,0,0,0,0,0,1
11518,ASTRON 300,Topics in Modern Astrophysics,View ASTRON 300 in Course Search ,017,Astronomy,"Johnson,Michael D.",0,2,0,0,0,0,0,2
12592,ASTRON 300,Topics in Modern Astrophysics,View ASTRON 300 in Course Search ,023,Astronomy,"Connor,Liam Dean",1,1,0,0,0,0,0,2
13643,ASTRON 300,Topics in Modern Astrophysics,View ASTRON 300 in Course Search ,025,Astronomy,"Kewley,Lisa J.",0,1,0,0,0,0,0,1
14211,ASTRON 300,Topics in Modern Astrophysics,View ASTRON 300 in Course Search ,027,Astronomy,"Villar,Ashley",0,3,0,0,0,0,0,3
14291,ASTRON 300,Topics in Modern Astrophysics,View ASTRON 300 in Course Search ,028,Astronomy,"Chen,Xingang",0,1,0,0,0,0,0,1
